İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
85799-2995,30-10-2024,Daire,4 + 1,135 m2 / 125 m2,Ara Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Keçiören,3.950.000 TL
13861-2683,30-10-2024,Daire,4 + 1,250 m2 / 216 m2,1. Kat,5 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Uygun,Eşyalı Değil,2,Betonarme,,Boş,Kat Mülkiyeti,4 TL,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Çankaya,19.000.000 TL
3584-28304,30-10-2024,Daire,3 + 1,120 m2 / 110 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,"Kuzey, Güney, Doğu",,Doğalgaz,,,,Ankara,Çankaya,8.400.000 TL
7464-7007,30-10-2024,Daire,2 + 1,75 m2 / 68 m2,Yüksek Giriş,45 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,Güney,12.000 TL,Doğalgaz,,,Evet,Ankara,Altındağ,1.449.999 TL
27363-1564,30-10-2024,Daire,1 + 1,100 m2 / 80 m2,Bahçe Katı,5 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı,1,,,Kiracılı,Kat Mülkiyeti,1 TL,Hayır,"Güney, Doğu, Batı",,,,,,Ankara,Çankaya,3.750.000 TL
65431-13793,30-10-2024,Daire,3 + 1,125 m2 / 120 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Pursaklar,2.890.000 TL
66838-966,30-10-2024,Daire,2 + 1,90 m2 / 80 m2,Giriş Katı,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.799.000 TL
2644-4224,30-10-2024,Daire,3 + 1,140 m2 / 120 m2,Yüksek Giriş,45 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,200 TL,Hayır,"Kuzey, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.500.000 TL
2744-13867,30-10-2024,Daire,2 + 1,120 m2 / 115 m2,1. Kat,27 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Doğu",24.000 TL,Doğalgaz,,1,Evet,Ankara,Çankaya,2.950.000 TL
8315-15524,30-10-2024,Müstakil Ev,6 + 2,220 m2 / 200 m2,,28 Yaşında,Soba,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,Kömür-Odun,,,Evet,Ankara,Akyurt,2.850.000 TL
14072-13244,30-10-2024,Daire,3 + 1,135 m2 / 125 m2,1. Kat,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,"Güney, Doğu",35.000 TL,Doğalgaz,7419,1,Evet,Ankara,Çankaya,4.650.000 TL
16354-25984,24-10-2024,Daire,3 + 1,130 m2 / 124 m2,2. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1 TL,Evet,"Güney, Batı",22.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,3.150.000 TL
10249-4247,30-10-2024,Daire,2 + 1,110 m2 / 90 m2,2. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat İrtifakı,,,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Keçiören,2.200.000 TL
4068-3080,30-10-2024,Daire,3 + 1,145 m2 / 135 m2,4. Kat,Sıfır Bina,Yerden Isıtma,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,"Kuzey, Güney, Doğu, Batı",40.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,8.400.000 TL
19037-7853,30-10-2024,Daire,3 + 1,130 m2 / 120 m2,1. Kat,33 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Doğu, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.995.000 TL
137576-208,30-10-2024,Villa,4 + 1,437 m2 / 240 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",45.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,15.900.000 TL
1955-15,30-10-2024,Daire,5 + 1,180 m2 / 170 m2,3. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Batı,,Doğalgaz,,,,Ankara,Keçiören,3.000.000 TL
