İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
4380-11921,29-08-2024,Daire,3 + 1,240 m2 / 205 m2,2. Kat,27 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Doğu, Batı",,Doğalgaz,,,,Ankara,Çankaya,6.000.000 TL
4380-11957,13-08-2024,Daire,4 + 1,185 m2 / 165 m2,2. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Çankaya,5.650.000 TL
4537-10547,25-10-2024,Daire,6 + 1,325 m2 / 285 m2,3. Kat,27 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,Batı,,Doğalgaz,,,Evet,Ankara,Çankaya,10.500.000 TL
2726-7470,25-10-2024,Daire,3 + 1,140 m2 / 120 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,50 TL,Hayır,Batı,18.000 TL,Doğalgaz,,,,Ankara,Keçiören,2.550.000 TL
2726-7405,24-10-2024,Daire,5 + 1,310 m2 / 300 m2,9. Kat,20 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,1 TL,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Keçiören,12.500.000 TL
114144-2090,27-10-2024,Daire,1 + 1,100 m2 / 50 m2,Giriş Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.250.000 TL
147632-45,23-10-2024,Daire,1 + 1,47 m2 / 45 m2,Yüksek Giriş,1 Yaşında,Kombi,3 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Batı",12.000 TL,Doğalgaz,53,14,Evet,Ankara,Çubuk,1.300.000 TL
61156-5931,11-10-2024,Daire,3 + 1,135 m2 / 130 m2,1. Kat,16 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,300 TL,Hayır,"Güney, Batı",25.000 TL,Doğalgaz,26339,1,Evet,Ankara,Çankaya,3.250.000 TL
113784-1275,25-10-2024,Daire,3 + 1,140 m2 / 130 m2,2. Kat,15 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,250 TL,Hayır,"Kuzey, Güney, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,3.389.000 TL
135726-823,25-10-2024,Daire,3 + 1,120 m2 / 110 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Tapu Yok,100 TL,Hayır,"Güney, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,3.289.000 TL
