İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
141439-90,28-10-2024,Daire,4 + 1,199 m2 / 185 m2,5. Kat,2 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun değil,Eşyalı Değil,2,,,Boş,,,Hayır,"Güney, Doğu, Batı",,,,,,Ankara,Keçiören,6.399.000 TL
141439-80,25-10-2024,Daire,3 + 1,165 m2 / 155 m2,6. Kat,8 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Evet,"Güney, Doğu",,Doğalgaz,,,,Ankara,Keçiören,4.150.000 TL
86676-1892,28-10-2024,Daire,3 + 1,115 m2 / 100 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Boş,Kat Mülkiyeti,150 TL,Hayır,Batı,20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.375.000 TL
73018-8479,28-10-2024,Daire,2 + 1,120 m2 / 110 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Pursaklar,2.300.000 TL
148919-58,28-10-2024,Daire,2 + 1,75 m2 / 70 m2,Yüksek Giriş,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Güney, Doğu, Batı",25.000 TL,Doğalgaz,118322,6,Evet,Ankara,Gölbaşı,3.650.000 TL
73920-846,28-10-2024,Daire,3 + 1,125 m2 / 120 m2,5. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,,Doğalgaz,,,Evet,Ankara,Pursaklar,3.710.000 TL
142174-331,28-10-2024,Daire,4 + 1,185 m2 / 155 m2,Yüksek Giriş,3 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat İrtifakı,250 TL,Evet,"Doğu, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Yenimahalle,2.960.000 TL
148114-183,28-10-2024,Daire,3 + 1,130 m2 / 120 m2,2. Kat,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Güney, Batı",,Doğalgaz,0,,Evet,Ankara,Sincan,1.999.000 TL
151566-4,25-10-2024,Daire,3 + 1,135 m2 / 120 m2,2. Kat,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,150 TL,Hayır,Batı,18.000 TL,Doğalgaz,1,1,Evet,Ankara,Mamak,2.585.000 TL
47825-628,28-10-2024,Daire,3 + 1,150 m2 / 135 m2,2. Kat,2 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,Doğalgaz,,,,Ankara,Polatlı,2.690.000 TL
16761-32273,29-10-2024,Daire,3 + 1,140 m2 / 125 m2,1. Kat,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,200 TL,Hayır,"Güney, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.725.000 TL
14072-13195,29-10-2024,Daire,3 + 1,110 m2 / 100 m2,Giriş Katı,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.570.000 TL
6610-3493,27-10-2024,Daire,3 + 1,115 m2 / 110 m2,Kot 2,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Hayır,"Doğu, Batı",15.000 TL,Doğalgaz,,,,Ankara,Çankaya,1.995.000 TL
6610-3488,27-10-2024,Daire,3 + 1,105 m2 / 100 m2,Kot 1,27 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,150 TL,Hayır,"Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Çankaya,1.995.000 TL
16761-32255,29-10-2024,Daire,3 + 1,120 m2 / 115 m2,4. Kat,33 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Tapu Yok,100 TL,Hayır,"Kuzey, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.890.000 TL
136047-563,29-10-2024,Daire,3 + 1,170 m2 / 155 m2,2. Kat,Sıfır Bina,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,Doğalgaz,12,3,Evet,Ankara,Etimesgut,5.125.000 TL
22114-7022,29-10-2024,Daire,3 + 1,120 m2 / 110 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,200 TL,Hayır,Batı,20.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.850.000 TL
22114-7014,29-10-2024,Daire,3 + 1,130 m2 / 120 m2,Kot 1,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Hayır,"Kuzey, Doğu",30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.990.000 TL
135171-417,29-10-2024,Daire,3 + 1,130 m2 / 115 m2,Ara Kat,8 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,250 TL,,"Kuzey, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.700.000 TL
13848-4476,29-10-2024,Daire,3 + 1,123 m2 / 105 m2,7. Kat,4 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Uygun değil,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu, Batı",,,,,,Ankara,Sincan,3.475.000 TL
144511-56,23-10-2024,Daire,3 + 1,120 m2 / 109 m2,Ara Kat,38 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,700 TL,Hayır,Batı,35.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.900.000 TL
6557-3418,14-10-2024,Daire,4 + 1,150 m2 / 130 m2,3. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,,,Doğalgaz,1,2,Evet,Ankara,Çankaya,4.450.000 TL
3535-4428,29-10-2024,Daire,2 + 1,90 m2 / 80 m2,2. Kat,28 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,1.600 TL,Hayır,"Doğu, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.500.000 TL
69815-990,30-10-2024,Daire,2 + 1,85 m2 / 78 m2,Ara Kat,Sıfır Bina,Merkezi (Pay Ölçer),13 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Belirtilmemiş,,,Hayır,,25.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,3.250.000 TL
25298-4329,29-10-2024,Daire,3 + 1,125 m2 / 120 m2,Yüksek Giriş,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Pursaklar,2.530.000 TL
5784-2320,30-10-2024,Daire,2 + 1,85 m2 / 75 m2,Bahçe Katı,32 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,,Kat Mülkiyeti,800 TL,Hayır,Doğu,25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.850.000 TL
15111-306,30-10-2024,Daire,3 + 1,130 m2 / 120 m2,Yüksek Giriş,25 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,2,,Sıfır,Mülk Sahibi,Kat Mülkiyeti,1.000 TL,Hayır,"Kuzey, Doğu",25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.690.000 TL
15111-313,30-10-2024,Daire,3 + 1,100 m2 / 90 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",18.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.150.000 TL
56586-3879,30-10-2024,Daire,3 + 1,145 m2 / 135 m2,1. Kat,9 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Keçiören,3.175.000 TL
141761-799,22-10-2024,Daire,3 + 1,165 m2 / 150 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,250 TL,,"Kuzey, Güney, Batı",,,,,Evet,Ankara,Etimesgut,4.100.000 TL
141761-775,23-10-2024,Daire,3 + 1,130 m2 / 120 m2,5. Kat,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,700 TL,,"Kuzey, Güney",,,46274,1,Evet,Ankara,Etimesgut,4.450.000 TL
141761-890,28-10-2024,Daire,1 + 1,76 m2 / 65 m2,8. Kat,10 Yaşında,Yerden Isıtma,12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,,Batı,,Doğalgaz,,,Evet,Ankara,Etimesgut,3.100.000 TL
141761-857,24-10-2024,Villa,4 + 1,240 m2 / 223 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",65.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,14.900.000 TL
141761-698,26-10-2024,Daire,3 + 1,95 m2 / 86 m2,5. Kat,22 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Kuzey, Güney",,Doğalgaz,,,Evet,Ankara,Etimesgut,3.100.000 TL
141761-904,28-10-2024,Daire,3 + 1,115 m2 / 110 m2,3. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Güney",,Doğalgaz,45075,1,,Ankara,Etimesgut,4.100.000 TL
141761-732,29-10-2024,Daire,3 + 1,125 m2 / 110 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,70 TL,Hayır,"Güney, Batı",15.000 TL,Doğalgaz,,,Evet,Ankara,Sincan,1.600.000 TL
141761-842,30-10-2024,Daire,2 + 1,105 m2 / 90 m2,10. Kat,8 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,,,Doğalgaz,,,Evet,Ankara,Etimesgut,4.100.000 TL
141761-817,30-10-2024,Daire,2 + 1,90 m2 / 80 m2,3. Kat,26 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,,,,Doğalgaz,,,Evet,Ankara,Etimesgut,2.070.000 TL
141761-794,13-10-2024,Daire,3 + 1,145 m2 / 132 m2,6. Kat,18 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Boş,Kat Mülkiyeti,750 TL,,"Güney, Doğu, Batı",,,46644,1,Evet,Ankara,Etimesgut,4.590.000 TL
141761-900,25-10-2024,Daire,3 + 1,120 m2 / 100 m2,16. Kat,4 Yaşında,Merkezi (Pay Ölçer),23 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1.800 TL,,"Kuzey, Doğu",,,,,Evet,Ankara,Etimesgut,7.500.000 TL
141761-755,14-10-2024,Daire,4 + 1,160 m2 / 140 m2,6. Kat,25 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,,,750 TL,Hayır,"Güney, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Yenimahalle,4.800.000 TL
141761-863,13-10-2024,Daire,3 + 1,125 m2 / 110 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,30 TL,,"Güney, Doğu, Batı",,,45224,2,Evet,Ankara,Etimesgut,2.935.000 TL
141761-856,14-10-2024,Daire,1 + 1,55 m2 / 50 m2,7. Kat,4 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,Kat Mülkiyeti,500 TL,Hayır,Batı,25.000 TL,Doğalgaz,0,,Evet,Ankara,Etimesgut,2.850.000 TL
141761-896,24-10-2024,Daire,3 + 1,130 m2 / 115 m2,Yüksek Giriş,22 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,Doğu,,,,,Evet,Ankara,Sincan,2.900.000 TL
141761-771,15-10-2024,Daire,3 + 1,110 m2 / 100 m2,4. Kat,32 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Mülk Sahibi,Kat Mülkiyeti,1.000 TL,Hayır,"Kuzey, Doğu, Batı",,Doğalgaz,,,,Ankara,Etimesgut,3.520.000 TL
110538-2570,30-10-2024,Villa,6 + 2,330 m2 / 300 m2,,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,500 TL,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,10.500.000 TL
110538-3206,30-10-2024,Villa,5 + 2,360 m2 / 320 m2,,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,,İkinci El,Boş,Kat Mülkiyeti,,,"Kuzey, Güney, Doğu, Batı",,,,,Evet,Ankara,Çankaya,14.900.000 TL
110538-3201,29-10-2024,Daire,2 + 1,80 m2 / 70 m2,21 ve üzeri,3 Yaşında,Merkezi (Pay Ölçer),22 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,Kat Mülkiyeti,1.100 TL,,Doğu,,,,,Evet,Ankara,Etimesgut,4.950.000 TL
110538-2867,29-10-2024,Villa,5 + 1,280 m2 / 250 m2,,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,650 TL,Evet,"Kuzey, Doğu, Batı",40.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,8.000.000 TL
110538-3381,30-10-2024,Daire,3 + 1,150 m2 / 135 m2,7. Kat,14 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Güney, Batı",,,,,Evet,Ankara,Yenimahalle,6.250.000 TL
110538-3255,29-10-2024,Daire,4 + 1,180 m2 / 160 m2,2. Kat,4 Yaşında,Merkezi (Pay Ölçer),23 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kiracılı,,,,"Kuzey, Doğu",,,,,Evet,Ankara,Etimesgut,6.175.000 TL
110538-3268,10-10-2024,Daire,5 + 1,180 m2 / 135 m2,En Üst Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,2.900.000 TL
20636-2937,30-10-2024,Daire,2 + 1,100 m2 / 87 m2,Ara Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,,Boş,Kat Mülkiyeti,1 TL,Hayır,Güney,,Doğalgaz,45649,7,Evet,Ankara,Etimesgut,4.200.000 TL
110538-3358,19-10-2024,Daire,3 + 1,130 m2 / 116 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,,"Güney, Doğu, Batı",,,,,Evet,Ankara,Sincan,3.100.000 TL
110538-3240,19-10-2024,Villa,3 + 1,150 m2 / 100 m2,,16 Yaşında,Yerden Isıtma,2 Katlı,Uygun,Eşyalı Değil,2,Taş Bina,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Çamlıdere,6.500.000 TL
110538-3322,19-10-2024,Daire,1 + 1,70 m2 / 65 m2,6. Kat,7 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat İrtifakı,,Hayır,Kuzey,,Elektrik,,,Evet,Ankara,Etimesgut,2.570.000 TL
110538-3050,20-10-2024,Daire,1 + 1,60 m2 / 55 m2,7. Kat,6 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,850 TL,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,2.820.000 TL
110538-3334,25-10-2024,Daire,3 + 1,149 m2 / 136 m2,3. Kat,10 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,750 TL,Evet,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Etimesgut,4.550.000 TL
110538-2996,21-10-2024,Villa,6 + 1,385 m2 / 360 m2,,Sıfır Bina,Yerden Isıtma,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,18.900.000 TL
110538-2908,21-10-2024,Villa,4 + 1,245 m2 / 210 m2,,Sıfır Bina,Yerden Isıtma,2 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,16.500.000 TL
110538-3290,28-10-2024,Daire,3 + 1,105 m2 / 91 m2,3. Kat,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,1.600 TL,Hayır,"Kuzey, Doğu",7.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,3.050.000 TL
110538-3365,22-10-2024,Daire,3 + 0,108 m2 / 97 m2,4. Kat,29 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,1.700 TL,Hayır,Batı,,Doğalgaz,17345,1,Evet,Ankara,Etimesgut,2.820.000 TL
110538-2879,22-10-2024,Daire,4 + 1,177 m2 / 150 m2,1. Kat,9 Yaşında,Merkezi (Pay Ölçer),29 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,2.650 TL,Hayır,"Güney, Doğu, Batı",15.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,8.100.000 TL
110538-3274,22-10-2024,Daire,4 + 1,170 m2 / 153 m2,13. Kat,9 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1.000 TL,Hayır,"Güney, Batı",35.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,7.250.000 TL
110538-3363,10-10-2024,Daire,3 + 1,150 m2 / 137 m2,8. Kat,10 Yaşında,Merkezi (Pay Ölçer),29 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,2.150 TL,,"Güney, Doğu",,Doğalgaz,63932,2,Evet,Ankara,Etimesgut,8.000.000 TL
110538-3369,25-10-2024,Daire,2 + 1,105 m2 / 80 m2,Bahçe Katı,12 Yaşında,Kombi,7 Katlı,Uygun değil,Eşyalı,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Evet,Güney,,Doğalgaz,,,Evet,Ankara,Etimesgut,1.675.000 TL
110538-3362,24-10-2024,Daire,3 + 1,135 m2 / 113 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,750 TL,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Sincan,3.150.000 TL
110538-3111,24-10-2024,Daire,3 + 1,140 m2 / 120 m2,Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Batı",,Doğalgaz,,,Evet,Ankara,Sincan,2.600.000 TL
110538-2032,24-10-2024,Villa,6 + 1,400 m2 / 300 m2,,18 Yaşında,Yerden Isıtma,3 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,12.250.000 TL
110538-3284,23-10-2024,Villa,6 + 1,350 m2 / 270 m2,,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,11.350.000 TL
110538-3390,23-10-2024,Daire,1 + 1,60 m2 / 45 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),12 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,"Güney, Doğu",,Doğalgaz,100093,1,Evet,Ankara,Sincan,1.750.000 TL
110538-3395,22-10-2024,Müstakil Ev,3 + 1,130 m2 / 110 m2,,28 Yaşında,Kombi,1 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Yenimahalle,4.750.000 TL
110538-3340,25-10-2024,Daire,1 + 1,55 m2 / 45 m2,6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,,,Evet,Doğu,,Doğalgaz,100093,1,Evet,Ankara,Sincan,1.875.000 TL
110538-3399,25-10-2024,Daire,2 + 1,75 m2 / 65 m2,1. Kat,1 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,650 TL,Hayır,Kuzey,20.000 TL,Doğalgaz,2197,2,Evet,Ankara,Sincan,3.175.000 TL
110538-3315,26-10-2024,Daire,3 + 1,130 m2 / 110 m2,3. Kat,22 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,,Güney,,Doğalgaz,,,Evet,Ankara,Sincan,2.150.000 TL
110538-3305,26-10-2024,Daire,3 + 1,165 m2 / 150 m2,11. Kat,14 Yaşında,Kombi,14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,800 TL,Hayır,"Kuzey, Batı",40.000 TL,Doğalgaz,,,Evet,Ankara,Yenimahalle,7.250.000 TL
110538-3247,27-10-2024,Daire,3 + 1,130 m2 / 115 m2,2. Kat,16 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,Kat Mülkiyeti,350 TL,,"Güney, Doğu",,,,,Evet,Ankara,Sincan,2.680.000 TL
110538-3248,27-10-2024,Daire,7 + 1,280 m2 / 220 m2,4. Kat,10 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,,"Kuzey, Batı",,Doğalgaz,,,Evet,Ankara,Sincan,6.600.000 TL
151566-25,30-10-2024,Daire,3 + 1,130 m2 / 110 m2,1. Kat,2 Yaşında,Merkezi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Kiracılı,Kat Mülkiyeti,500 TL,Hayır,"Güney, Doğu",17.000 TL,Doğalgaz,1,1,Evet,Ankara,Mamak,2.490.000 TL
2250-3466,30-10-2024,Daire,1 + 1,55 m2 / 45 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,,"Güney, Doğu",35.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.450.000 TL
39746-1088,30-10-2024,Daire,2 + 1,100 m2 / 90 m2,Kot 1,27 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,150 TL,Hayır,"Kuzey, Doğu",15.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.790.000 TL
4036-2154,30-10-2024,Daire,3 + 1,130 m2 / 120 m2,2. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Çankaya,5.890.000 TL
47682-2393,30-10-2024,Daire,3 + 1,135 m2 / 125 m2,Yüksek Giriş,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Evet,"Güney, Doğu",20.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,2.590.000 TL
15878-13929,30-10-2024,Daire,2 + 1,100 m2 / 90 m2,Yüksek Giriş,10 Yaşında,Kombi,4 Katlı,Uygun,,1,,,,Tapu Yok,,,,,,,,,Ankara,Keçiören,2.250.000 TL
4180-9297,30-10-2024,Daire,1 + 1,70 m2 / 60 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Batı",16.000 TL,Doğalgaz,101,58,Evet,Ankara,Çankaya,2.450.000 TL
